id,videoId,creator,title,clipPath,startSeconds,endSeconds,momentBucket,roleTag,clipPriority,visualEvidence,whyThisMomentMatters,mumukiReuseNote
7447707169664879915-032,7447707169664879915,@byzareefa,Banana Peel DIY Mask,../content/visual-hook-mining/clips/byzareefa__banana-peel-diy-mask__7447707169664879915_v3_31flashlite/beat-02.mp4,11.0,14.5,application_moment,product-like application,2,The creator rubs the inside of the banana peel directly onto her cheek.,"Demonstrates the 'DIY skincare' action clearly, which is highly engaging for viewers interested in natural beauty hacks.",Replace the banana peel with the application of the MUMUKI ampoule to show the product being massaged into the skin.
7447707169664879915-034,7447707169664879915,@byzareefa,Banana Peel DIY Mask,../content/visual-hook-mining/clips/byzareefa__banana-peel-diy-mask__7447707169664879915_v3_31flashlite/beat-04.mp4,38.5,42.0,application_moment,product-like application,4,The creator applies the peel to her chin and jawline area.,"Focuses on specific areas of concern, which helps viewers visualize the product's utility.",Show the ampoule being applied to the jawline to highlight the lifting or brightening effect.
7561970033195257101-051,7561970033195257101,@thejenjones,Banana Peel Natural t0x,../content/visual-hook-mining/clips/thejenjones__banana-peel-natural-t0x__7561970033195257101_v3_31flashlite/beat-01.mp4,0.0,3.5,hook_moment,stop-power,1,"The creator holds a banana peel directly in front of the camera, showing the inside of the peel.",The immediate visual of a banana peel combined with the bold claim of 'natural botox' creates high curiosity and stop-power.,Can be adapted by showing the MUMUKI Honey Banana BDRN Ampoule bottle next to a fresh banana to establish the ingredient connection immediately.
7579824086315011359-056,7579824086315011359,@drewcanole,DIY Honey Face Mask,../content/visual-hook-mining/clips/drewcanole__diy-honey-face-mask__7579824086315011359_v3_31flashlite/beat-01.mp4,0.0,4.0,hook_moment,stop-power,1,"A woman is applying a thick, golden honey mask onto her face using a spoon, with visible acne spots on her skin.","The immediate visual of applying a sticky, natural ingredient directly to the face creates high curiosity and 'gross-but-satisfying' appeal.","Use this as a direct hook for the MUMUKI ampoule application, showing the texture being spread on the skin."
7579824086315011359-058,7579824086315011359,@drewcanole,DIY Honey Face Mask,../content/visual-hook-mining/clips/drewcanole__diy-honey-face-mask__7579824086315011359_v3_31flashlite/beat-03.mp4,24.0,27.0,application_shot,product-application,3,"A woman gently massaging a white, creamy substance into her skin with her fingertips.","Shows the tactile experience of skincare application, which is essential for demonstrating the 'ritual' aspect of using an ampoule.",Replicate this exact massage technique with the MUMUKI ampoule to show how it absorbs into the skin.
7603074530570980638-065,7603074530570980638,@bithhnh387,Frozen Banana Skincare,../content/visual-hook-mining/clips/bithhnh387__frozen-banana-skincare__7603074530570980638_v3_31flashlite/beat-01.mp4,34.0,37.0,application_moment,product-like application,1,"A brush is applying a thick, golden, honey-like mask onto a person's face.","Demonstrates the satisfying, luxurious application of a honey-based mask, which is highly relevant to the MUMUKI product texture.",Use this as a direct visual reference for how to showcase the texture and application of the MUMUKI Honey Banana BDRN Ampoule.
7603074530570980638-066,7603074530570980638,@bithhnh387,Frozen Banana Skincare,../content/visual-hook-mining/clips/bithhnh387__frozen-banana-skincare__7603074530570980638_v3_31flashlite/beat-02.mp4,25.0,29.0,texture_moment,honey texture / sticky texture,2,"Honey is being poured from a spoon into a glass container, showing its viscous, golden texture.","Visualizes the key ingredient (honey) in a way that emphasizes its premium, sticky, and nourishing quality.",Can be used as a B-roll shot to highlight the honey ingredient in the MUMUKI formula.
7603074530570980638-067,7603074530570980638,@bithhnh387,Frozen Banana Skincare,../content/visual-hook-mining/clips/bithhnh387__frozen-banana-skincare__7603074530570980638_v3_31flashlite/beat-03.mp4,43.0,46.0,application_moment,face close-up,3,"Close-up of the mask being smoothed over the skin, showing the texture and coverage.","Shows the product sitting on the skin, which helps the viewer visualize the skincare experience.",Good for demonstrating the 'masking' or 'treatment' aspect of the ampoule.
7615701080982211853-070,7615701080982211853,@tenishaward1,Brighter Clearer Skin,../content/visual-hook-mining/clips/tenishaward1__brighter-clearer-skin__7615701080982211853_v3_31flashlite/beat-01.mp4,0.0,2.5,hook_moment,stop-power,1,"The creator is applying a thick, bright yellow paste onto her face with a brush, covering her entire face.",The high-contrast yellow color and the immediate application create a strong visual hook that stops the scroll.,Use this as a direct visual hook for the MUMUKI ampoule application to show texture and coverage.
7331862916603612462-015,7331862916603612462,@sheenaanayaaa,Banana Peel Tightening Test,../content/visual-hook-mining/clips/sheenaanayaaa__banana-peel-tightening-test__7331862916603612462_v3_31flashlite/beat-05.mp4,26.5,29.5,result_moment,skin-payoff,5,"Close-up of the creator's face showing smooth, glowing skin after the process.",Provides the 'proof' that the skincare routine works.,Show a close-up of skin after applying the MUMUKI ampoule to highlight the glow and texture improvement.
7446093862952815918-030,7446093862952815918,@tenishaward1,Honey Comb Facial,../content/visual-hook-mining/clips/tenishaward1__honey-comb-facial__7446093862952815918_v3_31flashlite/beat-05.mp4,15.0,17.6,skin_payoff,result-focus,5,"Close-up of the creator smiling and touching her glowing, hydrated skin.",The final result shot confirms the effectiveness of the honey-based skincare routine.,Use this as a closing shot to show the final skin texture achieved after using the MUMUKI product.
7447707169664879915-035,7447707169664879915,@byzareefa,Banana Peel DIY Mask,../content/visual-hook-mining/clips/byzareefa__banana-peel-diy-mask__7447707169664879915_v3_31flashlite/beat-05.mp4,53.0,56.5,result_moment,skin glow / skin payoff,5,"The creator looks directly at the camera with a glowing, hydrated complexion after the treatment.","Provides the 'payoff' shot that validates the efficacy of the ingredient, which is essential for conversion.",Use a similar 'after' shot showing the glowing skin result after using the MUMUKI ampoule.
7459763407668006152-040,7459763407668006152,@kevinnkylee,Banana Skin Tightening Hack,../content/visual-hook-mining/clips/kevinnkylee__banana-skin-tightening-hack__7459763407668006152_v3_31flashlite/beat-05.mp4,19.0,26.0,payoff_moment,result-showcase,5,"The creator wipes his face with a tissue and then touches his skin, showing a glowing, smooth texture.",The 'after' shot is essential to prove the efficacy of the ingredient and satisfy the viewer's desire for results.,Show the 'glow' payoff after applying the Honey Banana ampoule to demonstrate the product's immediate effect.
7555933284388146454-049,7555933284388146454,@kriziaraso,Honey Facial Glow,../content/visual-hook-mining/clips/kriziaraso__honey-facial-glow__7555933284388146454_v3_31flashlite/beat-04.mp4,10.0,12.5,product_application,visual-satisfaction,4,Close-up of the creator massaging the honey into her skin with both hands.,"The massage motion implies a self-care ritual, which is highly engaging for skincare audiences.",Use a close-up of the massage technique to highlight the absorption and soothing properties of the ampoule.
7555933284388146454-050,7555933284388146454,@kriziaraso,Honey Facial Glow,../content/visual-hook-mining/clips/kriziaraso__honey-facial-glow__7555933284388146454_v3_31flashlite/beat-05.mp4,12.5,14.6,result_moment,payoff,5,"The creator poses with her face fully coated in honey, looking directly at the camera with a confident expression.",Final shot reinforces the 'DIY skincare' aesthetic and the confidence gained from the routine.,End with a 'glowing skin' reveal after using the MUMUKI ampoule to show the final result.
7561970033195257101-054,7561970033195257101,@thejenjones,Banana Peel Natural t0x,../content/visual-hook-mining/clips/thejenjones__banana-peel-natural-t0x__7561970033195257101_v3_31flashlite/beat-04.mp4,45.5,49.0,payoff_moment,skin-glow,4,"The creator applies the product to her face and pats it in, showing her skin looking hydrated and glowing.","Provides the 'payoff' or result of the skincare routine, which is essential for conversion.",Directly mirror this shot with the MUMUKI Ampoule to showcase the 'instant glow' benefit of the product.
7579824086315011359-059,7579824086315011359,@drewcanole,DIY Honey Face Mask,../content/visual-hook-mining/clips/drewcanole__diy-honey-face-mask__7579824086315011359_v3_31flashlite/beat-04.mp4,27.0,30.0,payoff_shot,skin-glow,4,"Close-up of a woman's face showing a dewy, glowing complexion after the skincare routine.",The 'glow' payoff is the ultimate goal for the viewer and provides the necessary social proof for the skincare routine.,Use this as the 'after' result shot to showcase the immediate radiance provided by the MUMUKI ampoule.
7615701080982211853-073,7615701080982211853,@tenishaward1,Brighter Clearer Skin,../content/visual-hook-mining/clips/tenishaward1__brighter-clearer-skin__7615701080982211853_v3_31flashlite/beat-04.mp4,7.5,9.9,result_moment,skin-payoff,4,"The creator touches her clean, glowing skin, showing the final result after the mask.",Provides the 'payoff' or the desired outcome that viewers are looking for in skincare content.,Show the 'after' glow of the skin after using the MUMUKI ampoule to prove efficacy.
7621189679148272928-083,7621189679148272928,@iamedsonbrandao,Frozen Banana Lift Hack,../content/visual-hook-mining/clips/iamedsonbrandao__frozen-banana-lift-hack__7621189679148272928_v3_31flashlite/beat-05.mp4,26.5,29.5,application_moment,visual-action,5,The creator rubs the banana on his neck in an upward motion.,"Focuses on the 'glow' result, which is a key benefit for skincare products.",Show the ampoule being applied to the neck to demonstrate the 'glow' effect.
